TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT3G24790,ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,-,,-,-
AT3G24800,PRT1 (PROTEOLYSIS 1); ubiquitin-protein ligase,Bo7g031680,,-,Bo3g083710
AT3G24810,ICK3; cyclin-dependent protein kinase inhibitor,-,,-,Bo3g083720
AT3G24820,BSD domain-containing protein,Bo7g031670,,-,-
AT3G24830,60S ribosomal protein L13A (RPL13aB),Bo7g031660,,-,Bo3g083730
AT3G24840,SEC14 cytosolic factor putative / phosphoglyceride transfer protein putative,Bo7g031650,,-,-
AT3G24850,DNA binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G24860,hydroxyproline-rich glycoprotein family protein,Bo7g031620,,-,-
AT3G24870,DNA binding,Bo7g031610,,-,Bo3g083740
AT3G24880,DNA binding,na ,,na ,na 
AT3G24890,ATVAMP728,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G24900,AtRLP39 (Receptor Like Protein 39); protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G24927,pseudogene of unknown protein,na ,,na ,na 
AT3G24929,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G24982,protein binding,na ,,na ,na 
AT3G25010,AtRLP41 (Receptor Like Protein 41); kinase/ protein binding,na ,,na ,na 
AT3G25011,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25013,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: vesicle-mediated transport; LOCATED IN: integral to membrane; CONTAINS InterPro DOMAIN/s: Synaptobrevin (InterPro:IPR001388); BEST Arabidopsis thaliana protein match is: ATVAMP725 (TAIR:AT2G32670.1).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25014,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25020,AtRLP42 (Receptor Like Protein 42); protein binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25030,zinc finger (C3HC4-type RING finger) family protein,Bo7g031560,,-,-
AT3G25040,ER lumen protein retaining receptor putative / HDEL receptor putative,na ,,na ,na 
AT3G25050,XTH3 (XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 3); hydrolase acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase,na ,,na ,na 
AT3G25060,pentatricopeptide (PPR) repeat-containing protein,-,,-,Bo3g083760
AT3G25070,RIN4 (RPM1 INTERACTING PROTEIN 4); protein binding,Bo7g031440,,-,Bo3g083790
AT3G25080,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25090,F-box family protein-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25099,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25100,CDC45 (cell division cycle 45),Bo7g031400,,-,Bo3g083810
AT3G25110,AtFaTA (Arabidopsis FatA acyl-ACP thioesterase); acyl carrier/ acyl-[acyl-carrier-protein] hydrolase,Bo7g031390,,-,Bo3g083870
AT3G25120,mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein,Bo7g031360,,-,-
AT3G25130,unknown protein,Bo7g031350,,-,-
AT3G25140,QUA1 (QUASIMODO 1); polygalacturonate 4-alpha-galacturonosyltransferase/ transferase transferring glycosyl groups / transferase transferring hexosyl groups,Bo7g031340,,-,Bo3g083880
AT3G25150,nuclear transport factor 2 (NTF2) family protein / RNA recognition motif (RRM)-containing protein,Bo7g031330,,-,-
AT3G25160,ER lumen protein retaining receptor family protein,Bo7g031310,,-,Bo3g083890
AT3G25165,RALFL25 (ralf-like 25); signal transducer,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25170,RALFL26 (ralf-like 26); signal transducer,Bo7g031220,,-,-
AT3G25180,CYP82G1; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,-,,-,Bo3g083900
AT3G25182,Pseudogene of AT5G24050; DNA binding protein,na ,,na ,na 
AT3G25190,nodulin putative,-,,-,Bo3g083910
AT3G25200,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25210,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 19 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Pentatricopeptide repeat (InterPro:IPR002885); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G27800.1); Has 13348 Blast hits to 4225 proteins in 143 species: Archae - 3; Bacteria - 6; Metazoa - 114; Fungi - 126; Plants - 12736; Viruses - 0; Other Eukaryotes - 363 (source: NCBI BLink).,na ,,na ,na 
AT3G25220,FKBP15-1; FK506 binding / peptidyl-prolyl cis-trans isomerase,na ,,na ,na 
AT3G25221,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25225,pseudogene hypothetical protein,na ,,na ,na 
AT3G25230,ROF1 (ROTAMASE FKBP 1); FK506 binding / calmodulin binding / peptidyl-prolyl cis-trans isomerase,na ,,na ,na 
AT3G25233,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25240,unknown protein,-,,-,Bo3g083970
AT3G25250,AGC2-1 (OXIDATIVE SIGNAL-INDUCIBLE1); kinase,Bo7g031130,,-,-
AT3G25260,proton-dependent oligopeptide transport (POT) family protein,-,,-,Bo3g083980
AT3G25265,LCR4 (Low-molecular-weight cysteine-rich 4),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25270,nucleic acid binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25280,proton-dependent oligopeptide transport (POT) family protein,na ,,na ,na 
AT3G25290,auxin-responsive family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25400,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: NTP Pyrophosphohydrolase MazG-related RS21-C6 (InterPro:IPR011394) EAR (InterPro:IPR009039) NTP pyrophosphohydrolase MazG putative catalytic core (InterPro:IPR004518); Has 572 Blast hits to 572 proteins in 181 species: Archae - 11; Bacteria - 286; Metazoa - 71; Fungi - 1; Plants - 31; Viruses - 0; Other Eukaryotes - 172 (source: NCBI BLink).,Bo7g031080,,-,-
AT3G25410,bile acid:sodium symporter family protein,Bo7g031070,,-,-
AT3G25420,scpl21 (serine carboxypeptidase-like 21); serine-type carboxypeptidase,Bo7g031060,,-,-
AT3G25430,CAF1 family ribonuclease,Bo7g031040,,-,-
AT3G25440,RNA binding,Bo7g031030,,-,-
AT3G25450,transposable element gene,na ,,na ,na 
AT3G25460,F-box family protein,-,,-,Bo3g084010
AT3G25470,bacterial hemolysin-related,Bo7g031000,,-,Bo3g084020
AT3G25480,rhodanese-like domain-containing protein,-,,-,Bo3g084030
AT3G25485,transposable element gene,na ,,na ,na 
AT3G25490,wall-associated kinase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25495,pseudogene of leucine-rich repeat protein,na ,,na ,na 
AT3G25500,AFH1 (FORMIN HOMOLOGY 1); actin binding / actin filament binding / protein binding,-,,-,Bo3g084040
AT3G25510,disease resistance protein (TIR-NBS-LRR class) putative,-,,-,-
AT3G25520,ATL5 (A. THALIANA RIBOSOMAL PROTEIN L5); 5S rRNA binding / structural constituent of ribosome,Bo7g030990,,-,Bo3g084060
AT3G25530,GLYR1 (GLYOXYLATE REDUCTASE 1); 3-hydroxybutyrate dehydrogenase/ phosphogluconate dehydrogenase (decarboxylating),-,,-,-
AT3G25540,LAG1,Bo7g081760,,Bo2g138380,-
AT3G25545,unknown protein,-,,Bo2g138420,-
AT3G25550,F-box family protein,-,,-,-
AT3G25560,NIK2 (NSP-INTERACTING KINASE 2); ATP binding / protein binding / protein kinase/ protein serine/threonine kinase,Bo7g081770,,Bo2g138430,-
AT3G25570,adenosylmethionine decarboxylase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25572,CPuORF11 (Conserved peptide upstream open reading frame 11),no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25573,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25577,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25580,thioredoxin-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25585,AAPT2 (AMINOALCOHOLPHOSPHOTRANSFERASE); phosphatidyltransferase/ phosphotransferase for other substituted phosphate groups,Bo7g081780,,Bo2g138470,-
AT3G25590,unknown protein,Bo7g081790,,Bo2g138480,-
AT3G25597,unknown protein,Bo7g081800,,Bo2g138490,-
AT3G25600,calcium ion binding,Bo7g081810,,-,Bo9g075800
AT3G25610,haloacid dehalogenase-like hydrolase family protein,Bo7g081820,,Bo2g138500,-
AT3G25620,ABC transporter family protein,Bo7g081850,,Bo2g138520,-
AT3G25630,transposable element gene,na ,,na ,na 
AT3G25640,unknown protein,Bo7g081880,,Bo2g138580,-
AT3G25650,ASK15 (ARABIDOPSIS SKP1-LIKE 15); protein binding / ubiquitin-protein ligase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25655,IDL1 (INFLORESCENCE DEFICIENT IN ABSCISSION (IDA)-LIKE 1),-,,-,-
AT3G25660,glutamyl-tRNA(Gln) amidotransferase putative,-,,-,Bo9g075810
AT3G25670,leucine-rich repeat family protein,Bo7g081950,,-,-
AT3G25680,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: S-layer homology region (InterPro:IPR001119); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23890.1); Has 2048 Blast hits to 1685 proteins in 255 species: Archae - 25; Bacteria - 194; Metazoa - 982; Fungi - 118; Plants - 132; Viruses - 46; Other Eukaryotes - 551 (source: NCBI BLink).,-,,-,Bo9g075820
AT3G25690,CHUP1 (CHLOROPLAST UNUSUAL POSITIONING 1),Bo7g081960,,-,-
AT3G25700,chloroplast nucleoid DNA-binding protein-related,Bo7g081970,,Bo2g138610,-
AT3G25710,BHLH32 (BASIC HELIX-LOOP-HELIX 32); DNA binding / transcription factor,Bo7g081980,,Bo2g138630,-
AT3G25715,pre-tRNA,na ,,na ,na 
AT3G25716,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25717,RTFL16 (ROTUNDIFOLIA LIKE 16),-,,-,-
AT3G25719,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25720,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: RNA-directed DNA polymerase (reverse transcriptase) related (InterPro:IPR015706); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G10613.1); Has 363 Blast hits to 328 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 363; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25725,transposable element gene,na ,,na ,na 
AT3G25727,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25730,AP2 domain-containing transcription factor putative,na ,,na ,na 
AT3G25740,MAP1B (METHIONINE AMINOPEPTIDASE 1C); aminopeptidase/ metalloexopeptidase,na ,,na ,na 
AT3G25750,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25760,AOC1 (ALLENE OXIDE CYCLASE 1); allene-oxide cyclase,Bo7g082010;Bo7g082040,,-,-
AT3G25770,AOC2 (ALLENE OXIDE CYCLASE 2); allene-oxide cyclase,na ,,na ,na 
AT3G25780,AOC3 (ALLENE OXIDE CYCLASE 3); allene-oxide cyclase,na ,,na ,na 
AT3G25790,myb family transcription factor,Bo7g082060,,-,Bo9g075880
AT3G25795,other RNA,na ,,na ,na 
AT3G25800,PP2AA2 (PROTEIN PHOSPHATASE 2A SUBUNIT A2); protein phosphatase type 2A regulator,Bo7g082090,,-,Bo9g075890
AT3G25805,unknown protein,na ,,na ,na 
AT3G25810,myrcene/ocimene synthase putative,Bo7g082080;Bo7g082140,,-,-
AT3G25815,transposable element gene,na ,,na ,na 
AT3G25820,ATTPS-CIN (terpene synthase-like sequence-18-cineole); (E)-beta-ocimene synthase/ myrcene synthase,na ,,na ,na 
AT3G25826,transposable element gene,na ,,na ,na 
AT3G25830,ATTPS-CIN (terpene synthase-like sequence-18-cineole); (E)-beta-ocimene synthase/ myrcene synthase,na ,,na ,na 
AT3G25840,protein kinase family protein,na ,,na ,na 
AT3G25850,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25855,unknown protein,Bo7g082220,,-,-
AT3G25860,LTA2; dihydrolipoyllysine-residue acetyltransferase,Bo7g082230,,-,Bo9g075910
AT3G25870,unknown protein,-,,Bo2g138720,-
AT3G25880,auxin-resistance protein putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25882,NIMIN-2 (NIM1-INTERACTING 2),Bo7g082240,,Bo2g138750,Bo9g075920
AT3G25890,AP2 domain-containing transcription factor putative,Bo7g082250,,Bo2g138790,-
AT3G25900,HMT-1; homocysteine S-methyltransferase,Bo7g082260,,-,-
AT3G25905,CLE27 (CLAVATA3/ESR-RELATED 27); protein binding / receptor binding,Bo7g082270,,Bo2g138800,Bo9g075930
AT3G25910,zinc ion binding,Bo7g082290,,Bo2g138810,-
AT3G25920,RPL15; structural constituent of ribosome,na ,,na ,na 
AT3G25930,universal stress protein (USP) family protein,na ,,na ,na 
AT3G25940,transcription factor S-II (TFIIS) domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25950,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system integral to membrane; EXPRESSED IN: stem male gametophyte sepal pedicel; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: TRAM LAG1 and CLN8 homology (InterPro:IPR006634); BEST Arabidopsis thaliana protein match is: DNA-binding storekeeper protein-related (TAIR:AT5G14280.1); Has 41 Blast hits to 41 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 39; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo7g082320,,-,-
AT3G25960,pyruvate kinase putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G25970,pentatricopeptide (PPR) repeat-containing protein,-,,Bo2g138830,-
AT3G25980,mitotic spindle checkpoint protein putative (MAD2),Bo7g082330,,-,Bo9g075970
AT3G25990,DNA-binding protein GT-1-related,-,,Bo2g138840,-
AT3G26000,F-box family protein,Bo7g082340,,Bo2g138860,Bo9g075980
AT3G26010,F-box family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26020,serine/threonine protein phosphatase 2A (PP2A) regulatory subunit B' putative,na ,,na ,na 
AT3G26030,ATB' DELTA; protein phosphatase type 2A regulator,na ,,na ,na 
AT3G26040,transferase family protein,na ,,na ,na 
AT3G26050,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Targeting for Xklp2 (InterPro:IPR009675); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G27350.1); Has 5651 Blast hits to 1894 proteins in 233 species: Archae - 0; Bacteria - 757; Metazoa - 997; Fungi - 564; Plants - 231; Viruses - 18; Other Eukaryotes - 3084 (source: NCBI BLink).,-,,Bo2g138880,-
AT3G26060,ATPRX Q; antioxidant/ peroxiredoxin,-,,-,-
AT3G26070,plastid-lipid associated protein PAP / fibrillin family protein,na ,,na ,na 
AT3G26080,plastid-lipid associated protein PAP / fibrillin family protein,na ,,na ,na 
AT3G26085,CAAX amino terminal protease family protein,na ,,na ,na 
AT3G26090,RGS1 (REGULATOR OF G-PROTEIN SIGNALING 1); G-protein coupled receptor,na ,,na ,na 
AT3G26100,regulator of chromosome condensation (RCC1) family protein,Bo7g082380,,Bo2g138890,Bo9g076010
AT3G26110,FUNCTIONS IN: molecular_function unknown; LOCATED IN: anchored to membrane; EXPRESSED IN: 9 plant structures; EXPRESSED DURING: L mature pollen stage M germinated pollen stage 4 anthesis C globular stage petal differentiation and expansion stage; BEST Arabidopsis thaliana protein match is: BCP1 (TAIR:AT1G24520.1); Has 20 Blast hits to 20 proteins in 5 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 20; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,-,,Bo2g138900,Bo9g076020
AT3G26115,catalytic/ pyridoxal phosphate binding,Bo7g082390,,-,-
AT3G26120,TEL1 (TERMINAL EAR1-LIKE 1); RNA binding / nucleic acid binding / nucleotide binding,Bo7g082400,,Bo2g138920,-
AT3G26125,CYP86C2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,-,,-,Bo9g076040
AT3G26130,glycosyl hydrolase family 5 protein / cellulase family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26134,unknown pseudogene,na ,,na ,na 
AT3G26140,glycosyl hydrolase family 5 protein / cellulase family protein,na ,,na ,na 
AT3G26147,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26150,CYP71B16; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,-,,-,-
AT3G26160,CYP71B17; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26165,putative cytochrome P450.,na ,,na ,na 
AT3G26170,CYP71B19; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26180,CYP71B20; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26190,CYP71B21; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26200,CYP71B22; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26210,CYP71B23; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26220,CYP71B3; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26230,CYP71B24; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26235,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26240,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26250,DC1 domain-containing protein,na ,,na ,na 
AT3G26260,transposable element gene,na ,,na ,na 
AT3G26265,transposable element gene,na ,,na ,na 
AT3G26270,CYP71B25; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,Bo7g082540,,Bo2g139060,-
AT3G26280,CYP71B4; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26290,CYP71B26; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26295,putative cytochrome P450.,na ,,na ,na 
AT3G26300,CYP71B34; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26310,CYP71B35; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26320,CYP71B36; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26330,CYP71B37; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding,na ,,na ,na 
AT3G26340,20S proteasome beta subunit E putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26350,LOCATED IN: chloroplast; EXPRESSED IN: pedicel root carpel stamen; EXPRESSED DURING: 4 anthesis petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Harpin-induced 1 (InterPro:IPR010847); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G13050.1); Has 3161 Blast hits to 2320 proteins in 288 species: Archae - 6; Bacteria - 135; Metazoa - 1071; Fungi - 426; Plants - 961; Viruses - 219; Other Eukaryotes - 343 (source: NCBI BLink).,Bo7g082610,,Bo2g139110,-
AT3G26360,unknown protein,Bo7g082620,,Bo2g139120,-
AT3G26370,unknown protein,Bo7g082630,,-,Bo9g007940
AT3G26380,glycosyl hydrolase family protein 27 / alpha-galactosidase family protein / melibiase family protein,na ,,na ,na 
AT3G26390,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26400,EIF4B1; translation initiation factor,na ,,na ,na 
AT3G26410,methyltransferase/ nucleic acid binding,-,,Bo00285s230,-
AT3G26420,ATRZ-1A; RNA binding / nucleotide binding,Bo7g082650,,Bo00285s240,-
AT3G26430,GDSL-motif lipase/hydrolase family protein,Bo7g082660,,-,-
AT3G26440,unknown protein,Bo7g082670,,-,-
AT3G26445,glycosyl transferase family 17 protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26450,major latex protein-related / MLP-related,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26460,major latex protein-related / MLP-related,na ,,na ,na 
AT3G26470,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 4 anthesis LP.04 four leaves visible petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Disease resistance plant (InterPro:IPR014011); BEST Arabidopsis thaliana protein match is: ADR1-L1 (ADR1-like 1); ATP binding / protein binding (TAIR:AT4G33300.2); Has 27 Blast hits to 27 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26480,transducin family protein / WD-40 repeat family protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26483,transposable element gene,na ,,na ,na 
AT3G26486,transposable element gene,na ,,na ,na 
AT3G26490,phototropic-responsive NPH3 family protein,Bo7g082680,,-,-
AT3G26500,leucine-rich repeat family protein,-,,Bo00285s280;Bo00285s290,-
AT3G26510,octicosapeptide/Phox/Bem1p (PB1) domain-containing protein,Bo7g082690,,Bo00285s310,-
AT3G26511,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26520,TIP2 (TONOPLAST INTRINSIC PROTEIN 2); water channel,Bo7g082700,,Bo00285s340,-
AT3G26525,transposable element gene,na ,,na ,na 
AT3G26530,transposable element gene,na ,,na ,na 
AT3G26539,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26540,pentatricopeptide (PPR) repeat-containing protein,-,,-,Bo9g007950
AT3G26550,DC1 domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26560,ATP-dependent RNA helicase putative,Bo7g082710,,Bo2g140590,-
AT3G26561,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26570,PHT2;1 (PHOSPHATE TRANSPORTER 2;1); low affinity phosphate transmembrane transporter,Bo7g082720,,-,Bo9g007960
AT3G26580,INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide region (InterPro:IPR013026); Has 2147 Blast hits to 1154 proteins in 168 species: Archae - 2; Bacteria - 99; Metazoa - 1301; Fungi - 180; Plants - 105; Viruses - 57; Other Eukaryotes - 403 (source: NCBI BLink).,Bo7g082730,,-,-
AT3G26590,MATE efflux family protein,Bo7g082750,,-,-
AT3G26600,ARO4 (ARMADILLO REPEAT ONLY 4); binding,-,,-,Bo9g007970
AT3G26605,transposable element gene,na ,,na ,na 
AT3G26610,polygalacturonase putative / pectinase putative,Bo7g083760,,-,-
AT3G26612,other RNA,na ,,na ,na 
AT3G26614,transposable element gene,na ,,na ,na 
AT3G26616,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26618,ERF1-3 (eukaryotic release factor 1-3); translation release factor,-,,-,Bo9g007980
AT3G26620,LBD23 (LOB DOMAIN-CONTAINING PROTEIN 23),na ,,na ,na 
AT3G26630,pentatricopeptide (PPR) repeat-containing protein,Bo7g083790,,-,-
AT3G26640,LWD2 (LIGHT-REGULATED WD 2); nucleotide binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT3G26650,GAPA (GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT); glyceraldehyde-3-phosphate dehydrogenase/ protein binding,na ,,na ,na 
AT3G26660,LBD24 (LOB DOMAIN-CONTAINING PROTEIN 24),na ,,na ,na 
AT3G26670,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF803 (InterPro:IPR008521); BEST Arabidopsis thaliana protein match is: permease-related (TAIR:AT3G23870.1); Has 715 Blast hits to 711 proteins in 119 species: Archae - 0; Bacteria - 0; Metazoa - 298; Fungi - 244; Plants - 119; Viruses - 2; Other Eukaryotes - 52 (source: NCBI BLink).,Bo7g083810,,Bo00285s380,-
AT3G26680,SNM1 (SENSITIVE TO NITROGEN MUSTARD 1),Bo7g083820,,-,-
AT3G26690,ATNUDX13 (ARABIDOPSIS THALIANA NUDIX HYDROLASE HOMOLOG 13); bis(5'-adenosyl)-pentaphosphatase/ hydrolase,Bo7g083830,,Bo00285s390,-
AT3G26700,protein kinase family protein,na ,,na ,na 
